Package,LibPath,Version,Priority,Built
assertthat,C:/R/R-3.5.1/library,0.2.0,NA,3.5.1
backports,C:/R/R-3.5.1/library,1.1.2,NA,3.5.0
base,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
base64enc,C:/R/R-3.5.1/library,0.1-3,NA,3.5.0
BH,C:/R/R-3.5.1/library,1.66.0-1,NA,3.5.0
bindr,C:/R/R-3.5.1/library,0.1.1,NA,3.5.1
bindrcpp,C:/R/R-3.5.1/library,0.2.2,NA,3.5.1
bitops,C:/R/R-3.5.1/library,1.0-6,NA,3.5.0
boot,C:/R/R-3.5.1/library,1.3-20,recommended,3.5.1
broom,C:/R/R-3.5.1/library,0.5.0,NA,3.5.1
callr,C:/R/R-3.5.1/library,3.0.0,NA,3.5.1
caTools,C:/R/R-3.5.1/library,1.17.1.1,NA,3.5.1
cellranger,C:/R/R-3.5.1/library,1.1.0,NA,3.5.1
class,C:/R/R-3.5.1/library,7.3-14,recommended,3.5.1
cli,C:/R/R-3.5.1/library,1.0.1,NA,3.5.1
clipr,C:/R/R-3.5.1/library,0.4.1,NA,3.5.1
clisymbols,C:/R/R-3.5.1/library,1.2.0,NA,3.5.1
cluster,C:/R/R-3.5.1/library,2.0.7-1,recommended,3.5.1
codetools,C:/R/R-3.5.1/library,0.2-15,recommended,3.5.1
colorspace,C:/R/R-3.5.1/library,1.3-2,NA,3.5.1
compiler,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
crayon,C:/R/R-3.5.1/library,1.3.4,NA,3.5.1
curl,C:/R/R-3.5.1/library,3.2,NA,3.5.1
datasets,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
DBI,C:/R/R-3.5.1/library,1.0.0,NA,3.5.1
dbplyr,C:/R/R-3.5.1/library,1.2.2,NA,3.5.1
desc,C:/R/R-3.5.1/library,1.2.0,NA,3.5.1
devtools,C:/R/R-3.5.1/library,1.13.6,NA,3.5.1
digest,C:/R/R-3.5.1/library,0.6.17,NA,3.5.1
dplyr,C:/R/R-3.5.1/library,0.7.6,NA,3.5.1
evaluate,C:/R/R-3.5.1/library,0.11,NA,3.5.1
fansi,C:/R/R-3.5.1/library,0.3.0,NA,3.5.1
forcats,C:/R/R-3.5.1/library,0.3.0,NA,3.5.1
foreign,C:/R/R-3.5.1/library,0.8-70,recommended,3.5.1
fs,C:/R/R-3.5.1/library,1.2.6,NA,3.5.1
ggplot2,C:/R/R-3.5.1/library,3.0.0,NA,3.5.1
gh,C:/R/R-3.5.1/library,1.0.1,NA,3.5.1
git2r,C:/R/R-3.5.1/library,0.23.0,NA,3.5.1
glue,C:/R/R-3.5.1/library,1.3.0,NA,3.5.1
graphics,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
grDevices,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
grid,C:/R/R-3.5.1/library,3.5.1,base,3.5.1
gtable,C:/R/R-3.5.1/library,0.2.0,NA,3.5.1
